record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.1","20180206","CDFO","2MS23P29MBOUN BY","1","GSPTS BOUN BY (P29M)","49.0439","-122.9536",,,,"GSPTS           STAT AREA: P29M BOUNDARY BAY        P29M",,,"49.0439","-122.9536","N"
"L","4.1","20180104","ODFW","5M2223502O      10","2","SUNSET BAY AREA 2","43.3343","-124.3751",,,"17100304","SUNSET BAY AREA 2",,,"43.3343","-124.3751","N"
"L","4.1","20170728","NMFS","7M3  56N 138W","1","HIGH SEAS 3 56N 138W","56","-138",,,,"HIGH SEAS RECOVERY, SECTOR 3, LATITUDE 56N, LONGITUDE 138W",,,"56","-138","N"
"L","4.1","20180206","CDFW","6FBELALB","2","ALBEE CREEK","40.3522","-124.0053","MAEL","NOCA",,"ALBEE CREEK, TRIBUTARY OF EEL RIVER","NOCA","MAEL","40.3522","-124.0053","N"
"L","4.1","20180202","ADFG","1F1NE112 15","1","AK F 1 NE 112-15",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NE, District 112, Subdistrict 15","SEAK","SENE","58.4416","-135.1072","N"
"L","4.1","20180206","CDFO","2MS23P29MCAMP BG","1","GSPTS CAMP BG (P29M)","49.4192","-123.6417",,,,"GSPTS           STAT AREA: P29M CAMP BYNG           P29M",,,"49.4192","-123.6417","N"
"L","4.1","20180202","ADFG","1F1SE102 70","1","AK F 1 SE 102-70",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant SE, District 102, Subdistrict 70","SEAK","SESE","55.6289","-132.4209","N"
"L","4.1","20180202","ADFG","1F1SE105 32","1","AK F 1 SE 105-32",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant SE, District 105, Subdistrict 32","SEAK","SESE","56.6609","-133.765","N"
"L","4.1","20180202","ADFG","1F1SE105 42","1","AK F 1 SE 105-42",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant SE, District 105, Subdistrict 42","SEAK","SESE","56.1633","-133.4186","N"
"L","4.1","20180202","ADFG","1F1NW183 00","1","AK F 1 NW 183-00",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 183, Subdistrict 00","SEAK","SEYA",,,"N"
"L","4.1","20180202","ADFG","1F1NW192 30","1","AK F 1 NW 192-30",,,"SEAK","SEAK",,"Alaska freshwater, Region 1, Quadrant NW, District 192, Subdistrict 30","SEAK","SEYA","60.1306","-142.4906","N"
"L","4.1","20180206","CDFW","6FBELHOC","1","HOLLOW TREE CREEK","39.86","-123.73","MAEL","NOCA",,"HOLLOW TREE CREEK, TRIBUTARY TO EEL RIVER","NOCA","MAEL","39.86","-123.73","N"
"L","4.1","20180206","CDFW","6FBELMAI SCOC","1","SCOTIA","40.48","-124.11","MAEL","NOCA",,"SCOTIA","NOCA","MAEL","40.48","-124.11","N"
"L","4.1","20170728","NMFS","7M3  51N 171W","1","HIGH SEAS 3 51N 171W","51","-171",,,,"HIGH SEAS RECOVERY, SECTOR 3, LATITUDE 51N, LONGITUDE 171W",,,"51","-171","N"
"L","4.1","20180206","CDFW","6FBELSPW","2","SPROWEL CREEK","40.07","-123.827","MAEL","NOCA",,"SPROWEL CREEK (SPROWL SPROUL) TRIB TO SOUTH FORK EEL","NOCA","MAEL","40.07","-123.827","N"
"L","4.1","20180206","CDFW","6FBJG","2","JOLLY GIANT CREEK","40.88","-124.06","MAEL","NOCA",,"JOLLY GIANT CREEK, TRIBUTARY TO ARCATA BAY","NOCA","MAEL","40.88","-124.06","N"
"L","4.1","20180206","CDFO","2MS23P29MGOSS IS","1","GSPTS GOSS IS (P29M)","48.8906","-123.3214",,,,"GSPTS           STAT AREA: P29M GOSSIP ISLAND       P29M",,,"48.8906","-123.3214","N"
"L","4.1","20180206","CDFO","2FNTK","2","Taku River",,,,,,"Taku River     Catch Region TK",,,,,"N"
"L","4.1","20180206","CDFO","2MS23P29MGOSS SH","1","GSPTS GOSS SH (P29M)","48.8835","-123.3005",,,,"GSPTS           STAT AREA: P29M GOSSIP SHOALS       P29M",,,"48.8835","-123.3005","N"
"L","4.1","20180206","CDFO","2MS23P29MROBE CR","1","GSPTS ROBE CR (P29M)","49.4192","-123.6417",,,,"GSPTS           STAT AREA: P29M ROBERTS CREEK       P29M",,,"49.4192","-123.6417","N"
"L","4.1","20180206","CDFW","6FBELVAN","2","VAN DUZEN RIVER","40.54","-124.13","MAEL","NOCA",,"VAN DUZEN RIVER, TRIBUTARY TO EEL RIVER","NOCA","MAEL","40.54","-124.13","N"
"L","4.1","20170905","WDFW","3F              H86","3","LEWIS R +SPEELYAI",,,"WAGNG","WAGN","17","LEWIS R +SPEELYAI HATCHERIES","LOCR","LEWI","45.982","-122.5077","N"
"L","4.1","20180202","ADFG","1F4KD259 46","1","AK F 4 KD 259-46",,,"KODI","WEAK",,"Alaska freshwater, Region 4, Quadrant KD, District 259, Subdistrict 46","WEAK","KODI",,,"N"
